Wavelength	C:\Documents and Settings\All Users\Application Data\ASD\Indico Pro\Projects\McBeth_080818\#7.txt
350	 0.124997845625982 
351	 0.116695868645836 
352	 0.11381069218556 
353	 0.112758449629411 
354	 0.11083593840349 
355	 0.107728003885216 
356	 9.99876451308791E-02 
357	 9.50074169272052E-02 
358	 0.09633395493581 
359	 9.33584050384106E-02 
360	 9.06359067494422E-02 
361	 8.94361208020382E-02 
362	 8.90813645461822E-02 
363	 8.49171780123983E-02 
364	 8.46038650235708E-02 
365	 8.72112485486196E-02 
366	 8.33982933574147E-02 
367	 8.31281207212806E-02 
368	 8.27944974887099E-02 
369	 8.02156415784995E-02 
370	 8.25754992281389E-02 
371	 8.00819148350635E-02 
372	 0.076233420532997 
373	 7.74852635856449E-02 
374	 7.71856709093167E-02 
375	 0.077074137149467 
376	 7.75212827992935E-02 
377	 7.73266323650785E-02 
378	 7.75493913501947E-02 
379	 7.73034133901119E-02 
380	 7.63421637009214E-02 
381	 0.076393046254409 
382	 7.69251208094765E-02 
383	 7.73048278861483E-02 
384	 7.69883174667519E-02 
385	 7.61305461141221E-02 
386	 7.57942776600015E-02 
387	 7.58085224693345E-02 
388	 7.50229617914444E-02 
389	 7.43763301697534E-02 
390	 7.41943901968616E-02 
391	 7.43651585748573E-02 
392	 7.42400442686587E-02 
393	 7.29579879559335E-02 
394	 7.21723855281937E-02 
395	 0.073322517528171 
396	 7.26519644359578E-02 
397	 7.22984775133226E-02 
398	 7.24071024024739E-02 
399	 7.14353062507273E-02 
400	 7.20306550634064E-02 
401	 7.23492795901213E-02 
402	 7.12990481651737E-02 
403	 7.05312924952031E-02 
404	 7.10873382804775E-02 
405	 7.12617331064717E-02 
406	 6.94588246411599E-02 
407	 6.97564364023168E-02 
408	 7.00028738482913E-02 
409	 6.96273482993986E-02 
410	 6.97112359031988E-02 
411	 6.99812998965582E-02 
412	 6.98856266804056E-02 
413	 6.93299561082962E-02 
414	 6.93237651526074E-02 
415	 6.90814892518541E-02 
416	 6.88705469438036E-02 
417	 6.91288418380356E-02 
418	 0.068924458101555 
419	 6.85009753134122E-02 
420	 6.81751034404719E-02 
421	 0.068227573081889 
422	 6.84603199957417E-02 
423	 6.81742354749028E-02 
424	 6.73083538405918E-02 
425	 0.067732888236063 
426	 6.76567637341599E-02 
427	 6.72338075134946E-02 
428	 6.74027667621759E-02 
429	 6.75280452857027E-02 
430	 6.74626105292031E-02 
431	 6.73223632322269E-02 
432	 6.74925651535296E-02 
433	 6.76871560927636E-02 
434	 6.77621737242377E-02 
435	 6.76628253913331E-02 
436	 6.74977138537316E-02 
437	 6.71895510394334E-02 
438	 6.70059103801214E-02 
439	 6.73340902736543E-02 
440	 6.73489148390321E-02 
441	 6.71979455575003E-02 
442	 6.70813502018114E-02 
443	 6.70406411573016E-02 
444	 6.71262003641031E-02 
445	 0.067161483148226 
446	 6.70040525959278E-02 
447	 6.70408565913148E-02 
448	 6.72279996144633E-02 
449	 6.73837866901406E-02 
450	 6.72515175402242E-02 
451	 6.73788163693753E-02 
452	 6.75158238654865E-02 
453	 6.74484976982872E-02 
454	 6.74200173304088E-02 
455	 6.76259738412547E-02 
456	 6.77756894047421E-02 
457	 6.74856275302638E-02 
458	 6.75363775167787E-02 
459	 6.77068699150056E-02 
460	 6.78119831111135E-02 
461	 0.067843842114338 
462	 6.78560179333078E-02 
463	 6.78649314163843E-02 
464	 6.78747378667316E-02 
465	 6.78688659346169E-02 
466	 6.79943508060072E-02 
467	 6.81860894837711E-02 
468	 6.82336937252701E-02 
469	 6.81423393405259E-02 
470	 6.81564997643245E-02 
471	 6.83336842930005E-02 
472	 6.82501267035662E-02 
473	 6.84927082720886E-02 
474	 6.88044575321911E-02 
475	 6.87577958238467E-02 
476	 6.88573956808676E-02 
477	 6.90854951665725E-02 
478	 6.93681461365488E-02 
479	 6.96094268634995E-02 
480	 6.97279573152594E-02 
481	 6.99387177699092E-02 
482	 7.03489086529705E-02 
483	 7.05247080509206E-02 
484	 7.07620055096624E-02 
485	 7.10965371078047E-02 
486	 7.13979841120495E-02 
487	 7.15174217309604E-02 
488	 7.17923136039537E-02 
489	 7.23312159115492E-02 
490	 7.27593507394827E-02 
491	 7.31262292235656E-02 
492	 0.073498418878769 
493	 7.39592058589515E-02 
494	 7.45838412218764E-02 
495	 0.075164563492045 
496	 7.56935493823098E-02 
497	 0.076367361938427 
498	 7.72597186869525E-02 
499	 7.83381845046664E-02 
500	 0.079507417959209 
501	 8.05484156743332E-02 
502	 8.19382527424514E-02 
503	 8.36287516165067E-02 
504	 8.53276633641685E-02 
505	 8.73403011651143E-02 
506	 8.96569571685419E-02 
507	 9.22361415706303E-02 
508	 9.50358726735433E-02 
509	 9.80571913334864E-02 
510	 0.101394636184279 
511	 0.105085760947907 
512	 0.108774747653322 
513	 0.112719584778224 
514	 0.116872455482704 
515	 0.120889993565238 
516	 0.124992425412154 
517	 0.129123593963535 
518	 0.13320112544671 
519	 0.137227964752907 
520	 0.141136705153202 
521	 0.144830097818322 
522	 0.148225835514823 
523	 0.151511482644363 
524	 0.154640338941939 
525	 0.157534281481121 
526	 0.160116282976181 
527	 0.162502546219701 
528	 0.164757745359243 
529	 0.166904528061318 
530	 0.168863413818007 
531	 0.170686945587416 
532	 0.172374011495709 
533	 0.173862295519949 
534	 0.175354830473976 
535	 0.176805691343914 
536	 0.178147621151551 
537	 0.179419586867449 
538	 0.180676004680924 
539	 0.181970674750733 
540	 0.183351258935905 
541	 0.184798058206779 
542	 0.186329888963623 
543	 0.187936970455779 
544	 0.189522212506502 
545	 0.191395296813135 
546	 0.193459796928759 
547	 0.195537737145281 
548	 0.19791851814293 
549	 0.200557673156031 
550	 0.203434047442149 
551	 0.20658350377649 
552	 0.209991646406662 
553	 0.213673634642287 
554	 0.217624917488601 
555	 0.221712701427501 
556	 0.226126080348165 
557	 0.230922542427525 
558	 0.236059197970041 
559	 0.241490419958012 
560	 0.247258800878887 
561	 0.253355132460895 
562	 0.259605694617994 
563	 0.266107225617846 
564	 0.27282094344393 
565	 0.279671457624078 
566	 0.286647270506504 
567	 0.293915273170947 
568	 0.301535426427238 
569	 0.309413869132543 
570	 0.317426800248331 
571	 0.325643341499828 
572	 0.334150938041735 
573	 0.34294798996493 
574	 0.351871366897566 
575	 0.360901369893533 
576	 0.370135782870294 
577	 0.379513909457271 
578	 0.388842405278343 
579	 0.398031933775528 
580	 0.407287508136068 
581	 0.416311050611202 
582	 0.425193241896745 
583	 0.434129550501188 
584	 0.442786038009438 
585	 0.451278060890741 
586	 0.459645609469421 
587	 0.467802577346551 
588	 0.475626291819715 
589	 0.483085709789753 
590	 0.490210364635152 
591	 0.497086730017752 
592	 0.503411565066774 
593	 0.509210953081568 
594	 0.51478717168122 
595	 0.51972784789114 
596	 0.524140279695146 
597	 0.528166168598211 
598	 0.531766370860554 
599	 0.535003887445098 
600	 0.537829066055011 
601	 0.54015947647755 
602	 0.542153609261314 
603	 0.543879197950244 
604	 0.545376212799094 
605	 0.546661833389724 
606	 0.547678167295191 
607	 0.548480777161264 
608	 0.549152298243232 
609	 0.549693547306319 
610	 0.55012451339498 
611	 0.550457678347722 
612	 0.550698997971531 
613	 0.550919585462604 
614	 0.551107296011845 
615	 0.551239666752197 
616	 0.551320689797742 
617	 0.551384604779509 
618	 0.55143325086017 
619	 0.551455744831975 
620	 0.551514702863056 
621	 0.551599191346655 
622	 0.551686614867694 
623	 0.551748992262257 
624	 0.551856384017531 
625	 0.551960085008985 
626	 0.551994764043324 
627	 0.552033507444513 
628	 0.552091772907538 
629	 0.552144232150269 
630	 0.552130428396544 
631	 0.552155765516577 
632	 0.552203761510972 
633	 0.55222277903433 
634	 0.552133368801907 
635	 0.552079005507979 
636	 0.552072084293762 
637	 0.552048686797643 
638	 0.552048948064422 
639	 0.551993111783556 
640	 0.551850817468143 
641	 0.551694999997308 
642	 0.55158094278364 
643	 0.551510804901743 
644	 0.55145488656682 
645	 0.5513435468905 
646	 0.551305130083137 
647	 0.551367554072574 
648	 0.551446465209768 
649	 0.551506169097227 
650	 0.551620182748449 
