Wavelength	C:\Documents and Settings\All Users\Application Data\ASD\Indico Pro\Projects\McBeth_080818\#10.txt
350	 0.100903342791958 
351	 9.69456028291203E-02 
352	 9.77290923512152E-02 
353	 0.103783082148704 
354	 0.106792582376983 
355	 9.01388095843912E-02 
356	 8.69495508185452E-02 
357	 9.06434331847276E-02 
358	 0.090757018027297 
359	 8.84165157851266E-02 
360	 8.80122898155225E-02 
361	 9.02482097912756E-02 
362	 9.32231395442357E-02 
363	 8.97434091207313E-02 
364	 8.99912922377512E-02 
365	 9.41895420023328E-02 
366	 9.24696601718552E-02 
367	 9.45014583777941E-02 
368	 9.50065650385987E-02 
369	 9.20339293871572E-02 
370	 9.79111477133932E-02 
371	 9.72228179183505E-02 
372	 9.47629716337546E-02 
373	 9.94082052789529E-02 
374	 9.80401475976818E-02 
375	 9.98950126286612E-02 
376	 0.105210881206829 
377	 0.105663961831645 
378	 0.106784043426355 
379	 0.10769747756444 
380	 0.108289758055744 
381	 0.112600902065841 
382	 0.115130182251048 
383	 0.117038150408413 
384	 0.120771242572904 
385	 0.123205002769361 
386	 0.125671455323247 
387	 0.128911369980553 
388	 0.132921413753548 
389	 0.13636341052701 
390	 0.140192960889407 
391	 0.144580464788864 
392	 0.1472643925759 
393	 0.151117279351165 
394	 0.155549404829748 
395	 0.159089422219538 
396	 0.162003157302231 
397	 0.165435887642301 
398	 0.169226797707999 
399	 0.172217162516038 
400	 0.174949885216463 
401	 0.177437287942009 
402	 0.179849790311681 
403	 0.182765948267436 
404	 0.186042631126149 
405	 0.188406699349632 
406	 0.188969288211757 
407	 0.190774668469616 
408	 0.19219301095156 
409	 0.193160793411399 
410	 0.195118359337634 
411	 0.196811774544225 
412	 0.198364734360372 
413	 0.199864900156325 
414	 0.200783346758469 
415	 0.201227871082971 
416	 0.201648587192374 
417	 0.202434163676305 
418	 0.202847129870316 
419	 0.203010907209073 
420	 0.202990880577589 
421	 0.202732977792838 
422	 0.202385424122568 
423	 0.20149299514792 
424	 0.200013215799794 
425	 0.199324146561027 
426	 0.198071720031038 
427	 0.196436434503587 
