Wavelength	C:\Documents and Settings\All Users\Application Data\ASD\Indico Pro\Projects\McBeth_080818\#14.txt
350	 0.114422872189437 
351	 0.100983486769025 
352	 0.103148847474159 
353	 0.106548850625529 
354	 0.103746455868729 
355	 9.98227315339299E-02 
356	 9.79043891954935E-02 
357	 9.92696939120898E-02 
358	 0.102656689841092 
359	 0.10292805986832 
360	 9.95596232322096E-02 
361	 9.64156232958068E-02 
362	 9.73201213934998E-02 
363	 9.34407944167946E-02 
364	 9.40422817865749E-02 
365	 9.83558021305322E-02 
366	 9.55535313750976E-02 
367	 9.66421738642365E-02 
368	 9.69239972153595E-02 
369	 0.094127445211217 
370	 9.87029724596366E-02 
371	 9.57222104885891E-02 
372	 9.11185392057232E-02 
373	 9.49534006514321E-02 
374	 9.40750115260137E-02 
375	 9.48037257266117E-02 
376	 9.69073557654283E-02 
377	 0.093971996143084 
378	 9.46418454387615E-02 
379	 9.44729120398284E-02 
380	 9.16012032737692E-02 
381	 9.47226531406525E-02 
382	 0.095517714538851 
383	 9.55690814837572E-02 
384	 9.79723580249342E-02 
385	 9.57417423256202E-02 
386	 9.45410822377238E-02 
387	 9.52394545556946E-02 
388	 9.43329295973779E-02 
389	 9.42235182293379E-02 
390	 9.40870734936955E-02 
391	 9.36290282054747E-02 
392	 9.47054429150272E-02 
393	 9.51982801767213E-02 
394	 9.52654521126507E-02 
395	 9.55808527215949E-02 
396	 9.54059844320813E-02 
397	 9.51764494281469E-02 
398	 9.51058566101809E-02 
399	 9.51517438094142E-02 
400	 9.50118056367839E-02 
401	 9.48544748384606E-02 
402	 9.48614339529487E-02 
403	 9.51021906859819E-02 
404	 0.095444525382975 
405	 9.55212948249681E-02 
406	 0.095059877155053 
407	 9.45043274090373E-02 
408	 9.45278593249967E-02 
409	 9.49989367961249E-02 
410	 9.51237699267939E-02 
411	 9.53277377250591E-02 
412	 0.095252747242617 
413	 9.47526958283983E-02 
414	 9.43422066319679E-02 
415	 9.41392025502816E-02 
416	 9.43124434134544E-02 
417	 9.48176159880203E-02 
418	 9.44648056948116E-02 
419	 9.42250097093882E-02 
420	 9.44518160778604E-02 
421	 9.47171105605446E-02 
422	 9.46655593758447E-02 
423	 0.094451751556125 
424	 0.094356053882989 
425	 9.47424370604482E-02 
426	 9.47106905136333E-02 
427	 9.44557591405091E-02 
428	 9.45921457568244E-02 
429	 9.45852488416656E-02 
430	 9.46164690409986E-02 
431	 9.47651138324535E-02 
432	 9.48937700188482E-02 
433	 9.53191035519182E-02 
434	 9.56944961186865E-02 
435	 9.57412964106151E-02 
436	 9.59913346083591E-02 
437	 0.096085157083233 
438	 9.61101074648906E-02 
439	 9.64075622338056E-02 
440	 9.66583219325058E-02 
441	 9.69372931976727E-02 
442	 9.72858734596328E-02 
443	 0.097580070706776 
444	 9.80904071487438E-02 
445	 9.85678692222698E-02 
446	 9.87648887303687E-02 
447	 9.93096747034826E-02 
448	 9.98719012256893E-02 
449	 0.100327924180141 
450	 0.100794764116422 
451	 0.101525267567871 
452	 0.102337035797896 
453	 0.10305941430138 
454	 0.103771022007716 
455	 0.104550522211111 
456	 0.105440089992663 
457	 0.106449532991706 
458	 0.10751254937628 
459	 0.108637669150479 
460	 0.109815453370618 
461	 0.110994080648129 
462	 0.112315480543817 
463	 0.113807117560088 
464	 0.11542297473697 
465	 0.11698475794561 
466	 0.118840320267794 
467	 0.120810283197375 
468	 0.12240110330692 
469	 0.124151240109795 
470	 0.126200324033333 
471	 0.128502158719463 
472	 0.130749905085749 
473	 0.133218097595536 
474	 0.135751513278953 
475	 0.138163029387463 
476	 0.140951279449172 
477	 0.143949412171803 
478	 0.147012993759113 
479	 0.150073129247372 
480	 0.153076354074027 
481	 0.156161370876831 
482	 0.159443198465901 
483	 0.16281418521368 
484	 0.166274281391086 
485	 0.169866502535404 
486	 0.173622409730215 
487	 0.177178790146538 
488	 0.18089122108881 
489	 0.184899958081233 
490	 0.18884739647749 
491	 0.192872886729907 
492	 0.197044829780384 
493	 0.201385234672375 
494	 0.205714988810455 
495	 0.210152015059691 
496	 0.214734394911368 
497	 0.219385461051039 
498	 0.224241752560323 
499	 0.229151977231548 
500	 0.233996857520919 
501	 0.238916765041635 
502	 0.244018930325066 
503	 0.249145194119849 
504	 0.254055561594773 
505	 0.259121708106574 
506	 0.264196089151775 
507	 0.269173641132449 
508	 0.274093036535204 
509	 0.278894901808838 
510	 0.283510785188949 
511	 0.287860906107291 
512	 0.291818703832427 
513	 0.295686244512484 
514	 0.299447704100949 
515	 0.302784852073179 
516	 0.305852710152269 
517	 0.308634709144936 
518	 0.311099865028264 
519	 0.313260946918655 
520	 0.315118382845912 
521	 0.316686884007617 
522	 0.317992819740227 
523	 0.319096690899737 
524	 0.31991150495058 
525	 0.320439345745676 
526	 0.320875048831352 
527	 0.320958946933904 
528	 0.320799367295508 
529	 0.320560554745017 
530	 0.320051148753501 
531	 0.319323701007384 
532	 0.31842409379836 
533	 0.317380734405492 
534	 0.316156123133184 
535	 0.314886163943709 
536	 0.31362816931623 
537	 0.312116589837202 
538	 0.310433645346682 
539	 0.308628835896998 
540	 0.306735394072983 
541	 0.304832333488417 
542	 0.30285824612925 
543	 0.300756419121508 
544	 0.298503745544762 
545	 0.296292360760413 
546	 0.294037173792216 
547	 0.291587148291715 
548	 0.289018499685838 
549	 0.286400888516754 
550	 0.283753593849302 
551	 0.281033148142694 
552	 0.278284948808042 
553	 0.275538036304216 
554	 0.272808628604137 
555	 0.270114840825314 
556	 0.267399154745163 
557	 0.264638216347263 
558	 0.261836633578944 
559	 0.25901333677398 
560	 0.256261197580632 
561	 0.253586213988165 
562	 0.25078735967492 
563	 0.248080220923915 
564	 0.245447688803364 
565	 0.242785750345132 
566	 0.240107751680308 
567	 0.237475773772576 
568	 0.234865148616647 
569	 0.232132357379535 
570	 0.229328272006545 
571	 0.226540714276062 
572	 0.223818275118455 
573	 0.220997511117521 
574	 0.218081089620056 
575	 0.215117232695765 
576	 0.212178042234567 
577	 0.209148561789781 
578	 0.206094461032776 
579	 0.203074009131393 
580	 0.200060836296477 
581	 0.197049674445529 
582	 0.194039644725747 
583	 0.191032970626084 
584	 0.187985243618604 
585	 0.184941791079679 
586	 0.181932990495246 
587	 0.178940224101119 
588	 0.175949974968941 
589	 0.172969780809942 
590	 0.170013554893392 
591	 0.167110460153517 
592	 0.164241795515824 
593	 0.161446827497557 
594	 0.158811981893826 
595	 0.156170741248245 
596	 0.153606882632879 
597	 0.151203666698471 
598	 0.148903761643013 
599	 0.146689109521514 
600	 0.144600920279951 
601	 0.142693959609946 
602	 0.140838183524043 
603	 0.139121371886314 
604	 0.137582776926369 
605	 0.136145497235089 
606	 0.134780189238047 
607	 0.133498795248958 
608	 0.132318970959863 
609	 0.13119505940419 
610	 0.130177867086518 
611	 0.129276402610787 
612	 0.128454618677063 
613	 0.127702254779435 
614	 0.126993746837334 
615	 0.126319699063185 
616	 0.12572689400313 
617	 0.125137891184149 
618	 0.124585286696085 
619	 0.12415474988938 
620	 0.123775564271306 
621	 0.123408524533583 
622	 0.123036134105577 
623	 0.122663673657087 
624	 0.122378163864349 
625	 0.122125399290906 
626	 0.121830245604184 
627	 0.121597034033718 
628	 0.121362657784051 
629	 0.121105033052686 
630	 0.120855231005294 
631	 0.120671619639619 
632	 0.120503168084837 
633	 0.120302450449201 
634	 0.120109538872034 
635	 0.11991456994493 
636	 0.119738920619232 
637	 0.119610865482301 
638	 0.119451742917896 
639	 0.119267676863741 
640	 0.119086731954118 
641	 0.118957678525474 
642	 0.118821027266762 
643	 0.118682939672581 
644	 0.118561120923736 
645	 0.118410210606552 
646	 0.118273263267904 
647	 0.118171976531889 
648	 0.118100399521977 
649	 0.118019480138824 
650	 0.117994239827351 
651	 0.118059259104021 
652	 0.11809973412173 
653	 0.118166414824316 
654	 0.118284988054951 
655	 0.118459074375624 
656	 0.118621760289988 
657	 0.118801843654069 
658	 0.119021363970304 
659	 0.119273270642773 
660	 0.119524654934613 
661	 0.119822381473141 
662	 0.120207719959336 
663	 0.120577478737755 
664	 0.120953336328312 
665	 0.12137888161152 
666	 0.121903578082122 
667	 0.122383910230902 
668	 0.122865509927192 
669	 0.12340386221502 
670	 0.123992212604361 
671	 0.124538784390463 
672	 0.12507462180072 
673	 0.125678178275132 
674	 0.126275571086993 
675	 0.126886439936791 
676	 0.127520028174422 
677	 0.128157187338071 
678	 0.12877629526053 
679	 0.129429635518283 
680	 0.130141716208701 
681	 0.130756836818462 
682	 0.131373226323039 
683	 0.132014621674572 
684	 0.132648784282363 
685	 0.133280455723299 
686	 0.13391845575508 
687	 0.134556524194098 
688	 0.135154449918914 
689	 0.135713873443184 
