Wavelength	C:\Documents and Settings\All Users\Application Data\ASD\Indico Pro\Projects\McBeth_080818\#24.txt
350	 3.61552151201157E-02 
351	 3.03035550896359E-02 
352	 3.44348089297396E-02 
353	 4.25854907909298E-02 
354	 4.71173066574724E-02 
355	 4.12140836590358E-02 
356	 3.45873383232957E-02 
357	 3.44335403981259E-02 
358	 4.15388775837913E-02 
359	 4.48701485700072E-02 
360	 4.35831128586121E-02 
361	 4.08018595355838E-02 
362	 4.02237428498812E-02 
363	 3.68204634749936E-02 
364	 3.80093914249284E-02 
365	 4.29987135771654E-02 
366	 4.28975420261086E-02 
367	 4.23943067233996E-02 
368	 4.10815759925226E-02 
369	 3.92990818328596E-02 
370	 4.13757161226765E-02 
371	 4.16019645517852E-02 
372	 4.03905907192505E-02 
373	 3.98813776835717E-02 
374	 3.74640517328993E-02 
375	 3.87234033630882E-02 
376	 4.23651293727161E-02 
377	 4.11641828831363E-02 
378	 4.04429621710467E-02 
379	 3.94790644678748E-02 
380	 3.81890751979998E-02 
381	 4.02413527093266E-02 
382	 4.13692472938988E-02 
383	 4.15651009867298E-02 
384	 4.20528791374715E-02 
385	 4.24119586501894E-02 
386	 4.21060948138704E-02 
387	 4.15884288172674E-02 
388	 4.19717449730558E-02 
389	 4.11473675217614E-02 
390	 4.05369164845174E-02 
391	 4.09161352930213E-02 
392	 4.06028488075671E-02 
393	 4.11362464583382E-02 
394	 4.12790407643378E-02 
395	 3.99085293670959E-02 
396	 4.08927934690698E-02 
397	 4.10804401826989E-02 
398	 4.02778454878394E-02 
399	 0.040848751161949 
400	 4.15164002297785E-02 
401	 0.04097600430989 
402	 3.95526624047768E-02 
403	 4.09604830059261E-02 
404	 4.17304949612014E-02 
405	 4.14590178052986E-02 
406	 4.08113488056165E-02 
407	 4.00511984635637E-02 
408	 4.00535688898253E-02 
409	 0.040518752565579 
410	 4.02024902726084E-02 
411	 0.040184110347864 
412	 4.01875015082693E-02 
413	 4.00379944694821E-02 
414	 4.03644586536214E-02 
415	 4.01843606347908E-02 
416	 3.97081055541508E-02 
417	 3.95098488947438E-02 
418	 3.93507006871877E-02 
419	 3.92095495125322E-02 
420	 3.92522959111825E-02 
421	 3.97908934790063E-02 
422	 3.97822803180464E-02 
423	 3.94103323977235E-02 
424	 3.91687780341205E-02 
425	 3.97334369456617E-02 
426	 3.98845279060016E-02 
427	 3.95510619131821E-02 
428	 3.92686671994272E-02 
429	 3.95467085749822E-02 
430	 3.96594207535296E-02 
431	 3.94423924942249E-02 
432	 3.95917147832836E-02 
433	 3.97384844048366E-02 
434	 3.98291251355199E-02 
435	 3.98646069494295E-02 
436	 3.97921645055029E-02 
437	 3.94476037273279E-02 
438	 3.91786394854257E-02 
439	 3.95374565655342E-02 
440	 3.95042728565162E-02 
441	 3.93665015701328E-02 
442	 3.93578867208879E-02 
443	 3.92817169030355E-02 
444	 3.94408340380126E-02 
445	 3.95064736182697E-02 
446	 3.91395089991138E-02 
447	 3.89640013971593E-02 
448	 3.90118261862754E-02 
449	 3.91124185211195E-02 
450	 0.038965377932411 
451	 3.90633558028274E-02 
452	 3.92329632645825E-02 
453	 0.039242315712035 
454	 3.90011290406725E-02 
455	 3.89796426753104E-02 
456	 0.039019443788292 
457	 3.87629142993414E-02 
458	 3.87757716943245E-02 
459	 3.89165005363306E-02 
460	 3.89968096149826E-02 
461	 0.038856614765759 
462	 0.038749146018976 
463	 3.87553647659356E-02 
464	 3.88449420817994E-02 
465	 3.87705582698336E-02 
466	 3.87992429457309E-02 
467	 3.88805029135689E-02 
468	 3.87610202115689E-02 
469	 3.87427474166965E-02 
470	 3.87527141997292E-02 
471	 3.87143916234442E-02 
472	 3.86393909233845E-02 
473	 3.87710134594944E-02 
474	 3.88298253117896E-02 
475	 3.85063453015616E-02 
476	 3.85009282233651E-02 
477	 3.86488941296815E-02 
478	 3.87846947999766E-02 
479	 3.88114061883074E-02 
480	 3.87629700284507E-02 
481	 3.87153226055696E-02 
482	 3.87134892571291E-02 
483	 3.86759873178093E-02 
484	 3.86469935589414E-02 
485	 3.86340818502994E-02 
486	 3.86195111718067E-02 
487	 3.85637080979524E-02 
488	 3.85225279459456E-02 
489	 3.85192620323533E-02 
490	 3.84968576776116E-02 
491	 3.85574985000814E-02 
492	 3.85496289729906E-02 
493	 3.83445610751848E-02 
494	 3.83414272068438E-02 
495	 3.83851938285418E-02 
496	 3.83697805179712E-02 
497	 0.038273393257042 
498	 3.83087979751616E-02 
499	 3.83642696562692E-02 
500	 3.83249359231832E-02 
501	 3.82501283153462E-02 
502	 3.82581281710042E-02 
503	 3.83352487065813E-02 
504	 0.038389347265974 
505	 0.038366577879629 
506	 3.83498045384912E-02 
