Wavelength	C:\Documents and Settings\All Users\Application Data\ASD\Indico Pro\Projects\McBeth_080818\#15.txt
350	 0.116571663927407 
351	 0.114504245555739 
352	 0.113776425514723 
353	 0.11291895328679 
354	 0.110856943497823 
355	 0.106354416625136 
356	 0.101672144596785 
357	 9.90777247628654E-02 
358	 9.88723974201216E-02 
359	 9.70754124226327E-02 
360	 9.51305590498481E-02 
361	 9.33526017347982E-02 
362	 9.17639938113458E-02 
363	 9.10684329061867E-02 
364	 9.06519160590919E-02 
365	 8.97362365611349E-02 
366	 8.76214365723565E-02 
367	 8.94434829918713E-02 
368	 0.087891886099553 
369	 8.12250765862639E-02 
370	 0.085957494954496 
371	 8.44902220969537E-02 
372	 8.03278728316522E-02 
373	 8.22181943810725E-02 
374	 0.08134839378903 
375	 8.18450359796022E-02 
376	 8.34675672984447E-02 
377	 8.18172877555069E-02 
378	 8.11070851169291E-02 
379	 0.080268856546876 
380	 7.88262002005913E-02 
381	 7.96424663708392E-02 
382	 7.96755964349939E-02 
383	 7.94286309237792E-02 
384	 8.00440964660002E-02 
385	 7.95310179484587E-02 
386	 7.88295429102115E-02 
387	 7.82012004906272E-02 
388	 7.72429509636675E-02 
389	 7.66094794868526E-02 
390	 7.58841133553834E-02 
391	 7.50886564791257E-02 
392	 7.55752010361724E-02 
393	 7.54033130476207E-02 
394	 7.47693988087748E-02 
395	 7.44255959795274E-02 
396	 7.40372533825746E-02 
397	 7.37896043534463E-02 
398	 7.33845967393396E-02 
399	 7.22458183446818E-02 
400	 7.22182208773776E-02 
401	 7.24705025268948E-02 
402	 7.21907632473841E-02 
403	 7.13564275004638E-02 
404	 7.15051053182273E-02 
405	 7.14298192986119E-02 
406	 6.98422800487924E-02 
407	 7.00155627857514E-02 
408	 7.01759169709448E-02 
409	 6.99025418542551E-02 
410	 7.01407637251404E-02 
411	 6.97961935383916E-02 
412	 6.95823426576714E-02 
413	 6.97782415052024E-02 
414	 6.89676605994289E-02 
415	 6.86109936155701E-02 
416	 6.86575395661478E-02 
417	 6.85251958015936E-02 
418	 6.82265276768318E-02 
419	 6.77663699679996E-02 
420	 6.74064073329093E-02 
421	 6.76248532761456E-02 
422	 6.75966287256762E-02 
423	 6.71191604294269E-02 
424	 6.64932444317515E-02 
425	 6.70301673370189E-02 
426	 6.70376663238002E-02 
427	 6.67065634514289E-02 
428	 6.69468353401802E-02 
429	 6.67741147914596E-02 
430	 0.06646084913565 
431	 6.62866244408645E-02 
432	 6.63901489480438E-02 
433	 6.63456531525948E-02 
434	 6.63666776233068E-02 
435	 6.66063847740913E-02 
436	 6.64711382852298E-02 
437	 6.60173747003543E-02 
438	 6.57594865690818E-02 
439	 6.63098096518454E-02 
440	 6.60175739242104E-02 
441	 6.57019790470039E-02 
442	 6.58675977417963E-02 
443	 0.065887403498303 
444	 6.57562939158975E-02 
445	 0.065543795052928 
446	 6.53713638522214E-02 
447	 0.065356576010682 
448	 6.54381074536591E-02 
449	 6.54681366261142E-02 
450	 0.06526083002425 
451	 6.54064967136701E-02 
452	 6.55263074334035E-02 
453	 6.53143977962395E-02 
454	 6.51003757345964E-02 
455	 6.49847220673214E-02 
456	 6.49138898384204E-02 
457	 6.47814752325918E-02 
458	 0.064773127766139 
459	 6.47581874889422E-02 
460	 6.46510719217144E-02 
461	 6.44627064786348E-02 
462	 6.43733079959313E-02 
463	 6.43769775838995E-02 
464	 6.43749514767467E-02 
465	 6.41295578303049E-02 
466	 6.40182695060271E-02 
467	 6.40503223838307E-02 
468	 0.063961638326919 
469	 0.063694691192357 
470	 6.35171362530575E-02 
471	 6.35213932271678E-02 
472	 6.33309139078158E-02 
473	 6.33293262349526E-02 
474	 6.32993992104584E-02 
475	 6.29365104620315E-02 
476	 6.27360540298787E-02 
477	 6.27690903675102E-02 
478	 6.28716284240202E-02 
479	 6.26726559220082E-02 
480	 6.25479286209848E-02 
481	 6.24301033854786E-02 
482	 6.22528089866176E-02 
483	 6.22620269668044E-02 
484	 6.23114461402643E-02 
485	 6.23488373253788E-02 
486	 0.062361255852828 
487	 6.21065269170311E-02 
488	 6.20291698620096E-02 
489	 6.22331864445725E-02 
490	 6.20752020350083E-02 
491	 6.22092780909965E-02 
492	 6.23092587800242E-02 
493	 6.19745650129891E-02 
494	 0.06209208591327 
495	 6.21601865556724E-02 
496	 6.20648806663824E-02 
497	 6.21290137403555E-02 
498	 6.21859338011853E-02 
499	 6.23205726398213E-02 
500	 6.25453784178694E-02 
501	 6.25030563867761E-02 
502	 6.27496945099056E-02 
503	 6.31288787242505E-02 
504	 6.31853456670125E-02 
505	 6.35882305741581E-02 
506	 6.39601990782602E-02 
507	 6.41391572712437E-02 
508	 6.45020036063471E-02 
509	 6.49104274188825E-02 
510	 6.53389784157817E-02 
511	 6.57773686633554E-02 
512	 6.61572813102322E-02 
513	 6.65160112293292E-02 
514	 0.066858985735265 
515	 6.71553593038933E-02 
516	 6.73088014546579E-02 
517	 6.74796737170771E-02 
518	 6.77642570965983E-02 
519	 6.79355605882143E-02 
520	 6.81161875773797E-02 
521	 6.83257873145113E-02 
522	 6.85149504553051E-02 
523	 6.85399674160563E-02 
524	 6.85887051519495E-02 
525	 6.87434762169825E-02 
526	 6.88566007560125E-02 
527	 6.88307193071089E-02 
528	 0.068786049410494 
529	 6.88662199666999E-02 
530	 6.89362666433446E-02 
531	 6.89058740346452E-02 
532	 6.88071797256544E-02 
533	 6.87857721412155E-02 
534	 6.87529828393946E-02 
535	 6.87299456516416E-02 
536	 6.87177242530173E-02 
537	 0.068589810210302 
538	 6.84743013286519E-02 
539	 6.83865571274749E-02 
540	 6.82749553610469E-02 
541	 6.81376456668662E-02 
542	 6.80218869672751E-02 
543	 6.79273342243483E-02 
544	 6.77389727838344E-02 
545	 6.76984663721418E-02 
546	 6.77172807416565E-02 
547	 6.76322185361161E-02 
548	 6.75932664522089E-02 
549	 6.76091679123716E-02 
550	 6.76277200040647E-02 
551	 6.75414450967041E-02 
552	 6.75839908738768E-02 
553	 6.76993407967487E-02 
554	 6.77954612500689E-02 
555	 6.79096865106302E-02 
556	 6.80755235460983E-02 
557	 6.82968919559466E-02 
558	 6.85560648087832E-02 
559	 6.88486842823576E-02 
560	 6.92077343909203E-02 
561	 6.96485198515607E-02 
562	 7.01368205739834E-02 
563	 7.06834920867007E-02 
564	 7.12756347319734E-02 
565	 7.19035186296467E-02 
566	 7.26249205010486E-02 
567	 7.34517969714978E-02 
568	 7.43809503173492E-02 
569	 7.53964754307305E-02 
570	 7.64518533127429E-02 
571	 0.077588771050652 
572	 0.078853689970051 
573	 8.02122623257822E-02 
574	 8.16814276640877E-02 
575	 8.32555742164423E-02 
576	 8.49183413612128E-02 
577	 8.67962578974567E-02 
578	 0.088772862233147 
579	 9.07809634518748E-02 
580	 9.29632691891863E-02 
581	 9.52810135984595E-02 
582	 9.77814689355249E-02 
583	 0.100523084895566 
584	 0.103376143040327 
585	 0.106518940286429 
586	 0.10999790098285 
587	 0.11363642482685 
588	 0.117609050000872 
589	 0.121869832432571 
590	 0.126381148597553 
591	 0.131406305822339 
592	 0.136736228636053 
593	 0.142366796093494 
594	 0.148474442985801 
595	 0.154843359392768 
596	 0.161622130397277 
597	 0.16892326215785 
598	 0.176606301358461 
599	 0.184642569501438 
600	 0.193087854091087 
601	 0.20203133268765 
602	 0.21133326486894 
603	 0.221050145094418 
604	 0.231215825964423 
605	 0.241788058184415 
606	 0.252730010743125 
607	 0.264033593927724 
608	 0.275698990687726 
609	 0.287686825250391 
610	 0.299978399158416 
611	 0.312511364546642 
612	 0.325170060659165 
613	 0.338011318796297 
614	 0.350909471666049 
615	 0.363757561037139 
616	 0.376627685784726 
617	 0.389271371420048 
618	 0.401648446110142 
619	 0.413831108904927 
620	 0.425806336880195 
621	 0.437345776789402 
622	 0.448358172316124 
623	 0.459084439240316 
624	 0.469375861936928 
625	 0.47911037955739 
626	 0.488238876782012 
627	 0.497009678359897 
628	 0.5052142269488 
629	 0.512819521669455 
630	 0.519980219602621 
631	 0.526723550585212 
632	 0.533021016332287 
633	 0.53884244698963 
634	 0.544233776241022 
635	 0.549243855396463 
636	 0.553907365265834 
637	 0.558255893259011 
638	 0.562276951918326 
639	 0.566007122591658 
640	 0.569486437266344 
641	 0.572739937545883 
642	 0.575691434358047 
643	 0.578432244413162 
644	 0.581067225083354 
645	 0.583435261113086 
646	 0.585672189016984 
647	 0.587831662909159 
648	 0.589867410994975 
649	 0.59171409328784 
650	 0.593444361551334 
651	 0.595116846344052 
652	 0.596650370374456 
653	 0.598191224891378 
654	 0.599667952841424 
655	 0.600917197749108 
656	 0.602133526230614 
657	 0.603244026945999 
658	 0.604220774558011 
659	 0.605160608382851 
660	 0.605966994700147 
661	 0.606674900192019 
662	 0.607341729506684 
663	 0.607926082268931 
664	 0.608445431527271 
665	 0.608932567691867 
666	 0.609429051577121 
667	 0.60992516988816 
668	 0.61039497745361 
669	 0.610843052412815 
670	 0.611364886865338 
671	 0.611872235021968 
672	 0.612340985760581 
673	 0.612788606772487 
674	 0.613276725580728 
675	 0.613803860591211 
676	 0.614361024575785 
677	 0.614936366597523 
678	 0.615543303493761 
679	 0.616143033416486 
680	 0.616712410110608 
681	 0.617337683997494 
682	 0.617962142331463 
683	 0.618573785892323 
684	 0.619202439571571 
685	 0.619919558161497 
686	 0.620664154985667 
687	 0.621388258464562 
688	 0.622110371983032 
689	 0.622813461722348 
690	 0.623501254898196 
691	 0.624187567907142 
692	 0.624904438293832 
693	 0.625600361071899 
694	 0.62623849531508 
695	 0.626808119334738 
696	 0.627350039416997 
697	 0.627900430001583 
698	 0.628471440169814 
699	 0.629015926086516 
700	 0.629533340773144 
701	 0.630047199588662 
702	 0.630583247334394 
703	 0.631070633094895 
704	 0.631546458488781 
705	 0.632060331703815 
706	 0.632664879350737 
707	 0.633157610645002 
708	 0.633639301823021 
709	 0.634208545341141 
710	 0.634639486740219 
711	 0.635106779093273 
712	 0.635616716897898 
713	 0.636065199378211 
714	 0.636496569458033 
715	 0.636950567716015 
716	 0.637424101445569 
717	 0.637837452870645 
718	 0.638307968212691 
719	 0.638792977131737 
720	 0.63921717426533 
721	 0.639609808470213 
722	 0.6399936032319 
723	 0.640384303594063 
724	 0.640787287274717 
725	 0.641179512719881 
726	 0.641564321139212 
727	 0.641942612720739 
728	 0.64229616888312 
729	 0.642718834571808 
730	 0.643118070290993 
731	 0.64338822638033 
732	 0.643733607101645 
733	 0.644149367553502 
734	 0.644586790986838 
735	 0.644970308999908 
736	 0.645357536501195 
737	 0.645748730281215 
738	 0.646129137071963 
739	 0.646466600308818 
740	 0.646844296913192 
741	 0.647259266777735 
742	 0.647666276513694 
743	 0.648007671680952 
744	 0.648358246181189 
745	 0.648753973499074 
746	 0.649177934413379 
747	 0.649585030865759 
748	 0.649972997633608 
749	 0.650345136634209 
750	 0.650695620478687 
751	 0.650998394202115 
752	 0.651280386034534 
753	 0.651587418335554 
754	 0.651928006731727 
755	 0.652235491599545 
756	 0.65251275982896 
757	 0.65283416141277 
758	 0.653123727076129 
759	 0.653389346350295 
760	 0.653656292927719 
761	 0.653952520911009 
762	 0.654261207502847 
763	 0.654561364710417 
764	 0.654845345440967 
765	 0.655196841952034 
766	 0.655480811186326 
767	 0.655685279389834 
768	 0.655922015603054 
769	 0.656142971146064 
770	 0.656373703748518 
771	 0.656629093378476 
772	 0.65688086355396 
773	 0.657117837665807 
774	 0.657341544933316 
775	 0.657550584786144 
776	 0.657686396229562 
777	 0.657890710577236 
778	 0.658172201124539 
779	 0.658421915588198 
780	 0.658582458675464 
781	 0.658757815120219 
782	 0.659003130417025 
783	 0.65924730704857 
784	 0.659426956858609 
785	 0.659590173540217 
786	 0.659796260249068 
787	 0.659994013967353 
788	 0.66023471861947 
789	 0.660477289979347 
790	 0.660638618965526 
791	 0.660813271965956 
792	 0.660952471678093 
793	 0.661060762090307 
794	 0.66122873368127 
795	 0.661428503863344 
796	 0.661622790961883 
797	 0.661789902516189 
798	 0.661966600956662 
799	 0.66207262426922 
800	 0.662169007522065 
801	 0.662347035346145 
802	 0.662486259524026 
803	 0.662648149855638 
804	 0.662818710944631 
805	 0.662914982520858 
806	 0.662998535987929 
807	 0.663144583753875 
808	 0.663355726585317 
809	 0.663506155475528 
810	 0.663598488083511 
811	 0.663693952178779 
812	 0.663848199708438 
813	 0.664025848666988 
814	 0.664173692976889 
815	 0.664289365071326 
816	 0.664399261909825 
817	 0.664491181419614 
818	 0.664574441146035 
819	 0.664676117483284 
820	 0.664834182705669 
821	 0.664981695445816 
822	 0.66510389814695 
823	 0.665204047221935 
824	 0.665298065006802 
825	 0.665396199548271 
826	 0.665488897920506 
827	 0.665576445088932 
828	 0.665728133779344 
829	 0.665856847960322 
830	 0.665930292714653 
831	 0.665969158263644 
832	 0.666082940945797 
833	 0.666224263368704 
834	 0.666362849297826 
835	 0.666504925787178 
836	 0.666669922179438 
837	 0.666766301243942 
838	 0.666783825983564 
839	 0.666897100522561 
840	 0.667063131547255 
841	 0.667185026837265 
842	 0.667217058649279 
843	 0.667347755984072 
844	 0.667462843093276 
845	 0.667553938842273 
846	 0.667662258439225 
847	 0.667775592520575 
848	 0.667925191206486 
849	 0.668071736406384 
850	 0.668126331522889 
851	 0.668152706489875 
852	 0.668254725256192 
853	 0.668454089336831 
854	 0.668649022302499 
855	 0.668643598420069 
856	 0.668609833706533 
857	 0.668717698823772 
858	 0.668919206668829 
859	 0.669043477101825 
860	 0.669069238311368 
861	 0.669062678809752 
862	 0.669164177819189 
863	 0.66931272369425 
864	 0.669434777190623 
865	 0.669483058834606 
866	 0.669586637444966 
867	 0.669723237084774 
868	 0.669849028657014 
869	 0.669914097012463 
870	 0.669885157238449 
871	 0.66988822006795 
872	 0.670007468612256 
873	 0.670229705517448 
874	 0.670355310438488 
875	 0.670404507121666 
876	 0.670456607438623 
877	 0.670595147306747 
878	 0.670773378332587 
879	 0.670912563481153 
880	 0.670958880627599 
881	 0.670943667536587 
882	 0.671106970904026 
883	 0.671335969336383 
884	 0.671404974125392 
885	 0.671345091826365 
886	 0.671383488037253 
887	 0.671522659971799 
888	 0.671624257327286 
889	 0.671706214921954 
890	 0.671760199929939 
891	 0.67181414965 
892	 0.671922833006497 
893	 0.672080848635846 
894	 0.672250778817954 
895	 0.672324622199916 
896	 0.672150937013439 
897	 0.672169473282537 
898	 0.67231651934709 
899	 0.672442394516626 
900	 0.672438279384435 
901	 0.672467207463841 
902	 0.672508380709946 
903	 0.672529869952978 
904	 0.672581678779507 
905	 0.672639039566978 
906	 0.672686968178863 
907	 0.672714477326773 
908	 0.672701561433921 
909	 0.672808625891362 
910	 0.672957504762482 
911	 0.67300389277758 
912	 0.672944916557677 
913	 0.672972923030107 
914	 0.673114752636129 
915	 0.67328562697216 
916	 0.673374139058669 
917	 0.673316949375036 
918	 0.673256236203098 
919	 0.673410793303374 
920	 0.673674812219165 
921	 0.67380266057343 
922	 0.673754459187772 
923	 0.673688306178068 
924	 0.673828191170968 
925	 0.674042711280336 
926	 0.6742594117015 
927	 0.674479557186691 
928	 0.674480529041492 
929	 0.674444235706167 
930	 0.674529199949307 
931	 0.674773164690758 
932	 0.674944905815205 
933	 0.674938715772673 
934	 0.674837840008029 
935	 0.674906366914877 
936	 0.675090890747392 
937	 0.675259941283744 
938	 0.675338483560363 
939	 0.675362713419846 
940	 0.675412775691911 
941	 0.6755147512098 
942	 0.675663578147025 
943	 0.675824043209465 
944	 0.675769037414094 
945	 0.675664340341712 
946	 0.675696303062418 
947	 0.675915247387109 
948	 0.676052188568317 
949	 0.676047194063433 
950	 0.675976370453354 
951	 0.676039052877492 
952	 0.676024172471816 
953	 0.676114877081538 
954	 0.6763932042569 
955	 0.67660085254784 
956	 0.676687835704299 
957	 0.676682972687949 
958	 0.676657119562952 
959	 0.676695106057372 
960	 0.67679014444429 
961	 0.676912886481025 
962	 0.676974970252567 
963	 0.676814154089334 
964	 0.67671273383445 
965	 0.676762737246545 
966	 0.676879894849831 
967	 0.676785551728766 
968	 0.676807318205518 
969	 0.676718414301951 
970	 0.676483969879852 
971	 0.676577249226292 
972	 0.676828082788398 
973	 0.676994594363875 
974	 0.676964652087872 
975	 0.676865463332429 
976	 0.67660117550301 
977	 0.67648079688191 
978	 0.676683184260418 
979	 0.677052416253839 
980	 0.677098767612952 
981	 0.677024764949391 
982	 0.676950265812173 
983	 0.676747759222964 
984	 0.676973824145244 
985	 0.677106871711305 
986	 0.676980986164195 
987	 0.677001602238242 
988	 0.676998416675624 
989	 0.676992572028183 
990	 0.67708422089898 
991	 0.677361462740025 
992	 0.677447329197014 
993	 0.677362258022615 
994	 0.67733786763835 
995	 0.677586482449901 
996	 0.67737241931482 
997	 0.677431954614517 
998	 0.677739880252458 
999	 0.677789328746257 
1000	 0.677819929252857 
1001	 0.675462863913374 
1002	 0.675527035194938 
1003	 0.675606880939901 
1004	 0.67570051887084 
1005	 0.67576782211474 
1006	 0.675815883496702 
1007	 0.675890935679576 
1008	 0.675985196226052 
1009	 0.676104248349764 
1010	 0.676250360143372 
1011	 0.676371909739457 
1012	 0.676498934351887 
1013	 0.67660566108903 
1014	 0.676682243377789 
1015	 0.676752065364995 
1016	 0.676848104540946 
1017	 0.676941367706619 
1018	 0.677063605381829 
1019	 0.677196740348684 
1020	 0.677354743904026 
1021	 0.677498547874059 
1022	 0.677612772972829 
1023	 0.67774266345404 
1024	 0.677864252455102 
1025	 0.677981826261051 
1026	 0.678112683941521 
1027	 0.67821075498434 
1028	 0.678332371262721 
1029	 0.678479839854445 
1030	 0.678623949318721 
1031	 0.678808818350323 
1032	 0.678957826775279 
1033	 0.679098705296047 
1034	 0.679190790814361 
1035	 0.679309390181736 
1036	 0.679435173193982 
1037	 0.679529050002272 
1038	 0.679639196862888 
1039	 0.679781760250766 
1040	 0.679875998132445 
1041	 0.679984796889798 
1042	 0.68013293677907 
1043	 0.680237268772338 
1044	 0.680313232530525 
1045	 0.680407837022364 
1046	 0.680527787237088 
1047	 0.680624806960431 
1048	 0.680706619864455 
1049	 0.680793573126015 
1050	 0.68089531885216 
1051	 0.680955419986507 
1052	 0.68101605162759 
1053	 0.681097922242279 
1054	 0.681160186251048 
1055	 0.681214870287122 
1056	 0.68127615846293 
1057	 0.681358732849813 
1058	 0.681444676991696 
1059	 0.681527003150732 
1060	 0.681609965624138 
1061	 0.681695301656984 
1062	 0.681769263793041 
1063	 0.681825156262915 
1064	 0.681915169829398 
1065	 0.682009779449818 
1066	 0.682104921803192 
1067	 0.68223502014052 
1068	 0.68236313048031 
1069	 0.682437200022475 
1070	 0.682509044228082 
1071	 0.682608277898108 
1072	 0.682694765583243 
1073	 0.682792170688408 
1074	 0.682929661196654 
1075	 0.683038705376129 
1076	 0.683131517036936 
1077	 0.683218362622196 
1078	 0.683292449714573 
1079	 0.683379738030044 
1080	 0.68345802316999 
1081	 0.683549951416467 
1082	 0.683648930343737 
1083	 0.683763653816108 
1084	 0.683903403954795 
1085	 0.684025475377671 
1086	 0.684153216532342 
1087	 0.684279493005519 
1088	 0.684389285709229 
1089	 0.684464787267557 
1090	 0.684578100552559 
1091	 0.684708722252747 
1092	 0.684830887757531 
1093	 0.684970723198162 
1094	 0.685087457926502 
1095	 0.685185664781577 
1096	 0.685282032929369 
1097	 0.685395155057378 
1098	 0.685516806742928 
1099	 0.685654079927241 
1100	 0.6857825554383 
1101	 0.685878840900562 
1102	 0.685984676192793 
1103	 0.686095115005814 
1104	 0.686203563548607 
1105	 0.68630828974185 
1106	 0.686422131114376 
1107	 0.686522792305505 
1108	 0.686600326720453 
1109	 0.6867012371012 
1110	 0.686824681564653 
1111	 0.686924505841046 
1112	 0.687023400531999 
1113	 0.687118910260845 
1114	 0.687196936215597 
1115	 0.687258989992614 
1116	 0.6873206092204 
1117	 0.687373159414918 
1118	 0.687398607102101 
1119	 0.687406531298476 
1120	 0.68741000268043 
1121	 0.687393758227282 
1122	 0.687387027046406 
1123	 0.687388876333085 
1124	 0.687363939582065 
1125	 0.687334686269669 
1126	 0.68729158920771 
1127	 0.687216471577968 
1128	 0.687153088664059 
1129	 0.687099445073538 
1130	 0.687026740695115 
1131	 0.686936822505031 
1132	 0.686850932466014 
1133	 0.686744659002745 
1134	 0.686613937209482 
1135	 0.68650061724871 
1136	 0.686382644981901 
1137	 0.686279114222564 
1138	 0.686187302479703 
1139	 0.686089903144048 
1140	 0.68599428524304 
1141	 0.685899755359733 
1142	 0.685795665351432 
1143	 0.68571041690292 
1144	 0.685638454717559 
1145	 0.685568564566981 
1146	 0.685507449707409 
1147	 0.685450138343462 
1148	 0.68540066454382 
1149	 0.685335573144451 
1150	 0.685264137653555 
1151	 0.68519800284755 
1152	 0.68513450088084 
1153	 0.68507626809935 
1154	 0.684997671501829 
1155	 0.684927531079944 
1156	 0.68482567208282 
1157	 0.684694197680679 
1158	 0.684562286037089 
1159	 0.684406229437296 
1160	 0.684267060633568 
1161	 0.684122167129618 
1162	 0.683984483057003 
1163	 0.683874281418344 
1164	 0.683738230322396 
1165	 0.68359645020375 
1166	 0.68344124424284 
1167	 0.683272079455389 
1168	 0.683073183948289 
1169	 0.68290443246552 
1170	 0.682740807365669 
1171	 0.682569273410059 
1172	 0.682414618911133 
1173	 0.682233124609025 
1174	 0.682032101642634 
1175	 0.681830633849046 
1176	 0.681621411870748 
1177	 0.681406940550223 
1178	 0.681185217962354 
1179	 0.680958225246551 
1180	 0.680725257742065 
1181	 0.680487927867055 
1182	 0.68024276452347 
1183	 0.679996415095575 
1184	 0.679746997029007 
1185	 0.679499156513918 
1186	 0.679230854454465 
1187	 0.678937226102387 
1188	 0.678685134298896 
1189	 0.678429719866916 
1190	 0.678195247921272 
1191	 0.677996096618945 
1192	 0.677790051041063 
1193	 0.677569292792542 
1194	 0.6773861727186 
1195	 0.677223791537007 
1196	 0.677078782421966 
1197	 0.676961566950544 
1198	 0.67685029360196 
1199	 0.676762924835358 
1200	 0.676671200396555 
1201	 0.676569887935229 
1202	 0.67649589321643 
1203	 0.676436175298446 
1204	 0.676381282456778 
1205	 0.676350661360031 
1206	 0.676349840653565 
1207	 0.676348711063567 
1208	 0.676358918172857 
1209	 0.676374258162968 
